,year.x,id,imdb_id,title.x,rating,year.y,imdb,title.y,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
74,1992,451,104257,A Few Good Men,1,1992,tt0104257,A Few Good Men,notalk,notalk,FAIL,33000000,141340178,236500000,1992FAIL,54791459,234673774,392672121,5,3,Neo military lawyer Kaffee defends Marines accused of murder; they contend they were acting under orders.,R,TRUE,English,USA,"Aaron Sorkin (play), Aaron Sorkin (screenplay)",62,7.6,Rob Reiner,11-Dec-92,"Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon","Crime, Drama, Mystery",Nominated for 4 Oscars. Another 9 wins & 15 nominations.,138,movie,http://ia.media-imdb.com/images/M/MV5BMTkzNzE3Njg4Ml5BMl5BanBnXkFtZTYwMjA4NzM5._V1_SX300.jpg,145215,NA
75,1999,2311,163651,American Pie,2,1999,tt0163651,American Pie,men,men,FAIL,12000000,101800948,234723148,1999FAIL,16781544,142364760,328251410,4,3,Four teenage boys enter a pact to lose their virginity by prom night.,R,TRUE,English,USA,Adam Herz,58,7,"Paul Weitz, Chris Weitz",9-Jul-99,"Jason Biggs, Chris Klein, Thomas Ian Nicholas, Alyson Hannigan","Comedy, Romance",9 wins & 14 nominations.,95,movie,http://ia.media-imdb.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_SX300.jpg,253141,NA
76,1998,1058,120746,The Mask of Zorro,1,1998,tt0120746,The Mask of Zorro,notalk-disagree,notalk,FAIL,65000000,93828745,233700000,1998FAIL,92893600,134093691,333988221,4,3,"A young thief, seeking revenge over the death of his brother, is trained by the once great, but aged Zorro, who is also seeking a vengeance of his own.",PG-13,TRUE,English,"USA, Germany","Johnston McCulley (character Zorro), Ted Elliott (story), Terry Rossio (story), Randall Jahnson (story), John Eskow (screenplay), Ted Elliott (screenplay), Terry Rossio (screenplay)",63,6.7,Martin Campbell,17-Jul-98,"Jos?? Mar??a de Tavira, Diego Sieres, Emiliano Guerra, Yolanda Orisaga","Action, Adventure, Comedy",Nominated for 2 Oscars. Another 7 wins & 15 nominations.,136,movie,http://ia.media-imdb.com/images/M/MV5BNjI3NzI2MjY2MF5BMl5BanBnXkFtZTYwMDM5ODU5._V1_SX300.jpg,107542,NA
77,1996,2449,116209,The English Patient,3,1996,tt0116209,The English Patient,ok,ok,PASS,35000000,78716374,231716374,1996PASS,51980772,116906798,344137032,4,3,"At the close of WWII, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.",R,TRUE,"English, German, Italian, Arabic","USA, UK","Michael Ondaatje (novel), Anthony Minghella (screenplay)",87,7.4,Anthony Minghella,6-Dec-96,"Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas","Drama, Romance, War",Won 9 Oscars. Another 47 wins & 39 nominations.,162,movie,http://ia.media-imdb.com/images/M/MV5BNDg2OTcxNDE0OF5BMl5BanBnXkFtZTgwOTg2MDM0MDE@._V1_SX300.jpg,110308,NA
78,1997,623,119217,Good Will Hunting,0,1997,tt0119217,Good Will Hunting,nowomen-disagree,nowomen,FAIL,10000000,138433435,225933435,1997FAIL,14512381,200899879,327883215,4,3,"Will Hunting, a janitor at MIT, has a gift for mathematics but needs help from a psychologist to find direction in his life.",R,TRUE,English,USA,"Matt Damon, Ben Affleck",70,8.2,Gus Van Sant,9-Jan-98,"Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsg?ùrd",Drama,Won 2 Oscars. Another 18 wins & 37 nominations.,126,movie,http://ia.media-imdb.com/images/M/MV5BMTk0NjY0Mzg5MF5BMl5BanBnXkFtZTcwNzM1OTM2MQ@@._V1_SX300.jpg,414134,NA
79,1997,573,118880,Con Air,2,1997,tt0118880,Con Air,notalk-disagree,notalk,FAIL,80000000,101117573,224117573,1997FAIL,116099050,146745677,325247966,4,3,A newly released ex-con and former US Ranger finds himself trapped in a prisoner transport plane when the passengers seize control.,R,TRUE,English,USA,Scott Rosenberg,52,6.8,Simon West,6-Jun-97,"Colm Meaney, Mykelti Williamson, Nick Chinlund, Renoly Santiago","Action, Crime, Thriller",Nominated for 2 Oscars. Another 6 wins & 8 nominations.,115,movie,http://ia.media-imdb.com/images/M/MV5BMTU1NzY2NjIzNV5BMl5BanBnXkFtZTgwMzE2Mzk5MDE@._V1_SX300.jpg,178495,NA
80,1999,1134,120891,Wild Wild West,2,1999,tt0120891,Wild Wild West,men,men,FAIL,175000000,113805681,221229335,1999FAIL,244730855,159152923,309380824,4,3,The two best hired guns in the West must save President Grant from the clutches of a 19th century inventor-villain.,PG-13,TRUE,English,USA,"Jim Thomas (story), John Thomas (story), S.S. Wilson (screenplay), Brent Maddock (screenplay), Jeffrey Price (screenplay), Peter S. Seaman (screenplay)",38,4.7,Barry Sonnenfeld,30-Jun-99,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek","Action, Western, Comedy",10 wins & 11 nominations.,106,movie,http://ia.media-imdb.com/images/M/MV5BNDI5NDk5MjgxMl5BMl5BanBnXkFtZTcwNjI1MTUyMQ@@._V1_SX300.jpg,108272,NA
81,1998,1079,120794,The Prince of Egypt,3,1998,tt0120794,The Prince of Egypt,notalk-disagree,notalk,FAIL,60000000,101413188,218600000,1998FAIL,85747939,144932864,312408324,4,3,"An Egyptian prince learns of his identity as a Hebrew and, later his destiny to become the chosen deliverer of his people.",PG,TRUE,"English, Hebrew",USA,"Philip LaZebnik (screenplay), Nicholas Meyer (additional screenplay material)",64,6.9,"Brenda Chapman, Steve Hickner, Simon Wells",18-Dec-98,"Val Kilmer, Ralph Fiennes, Michelle Pfeiffer, Sandra Bullock","Animation, Adventure, Drama",Won 1 Oscar. Another 5 wins & 19 nominations.,99,movie,http://ia.media-imdb.com/images/M/MV5BMTg0NTQ4MDU4M15BMl5BanBnXkFtZTYwNjk2MjE5._V1_SX300.jpg,68100,NA
82,1994,91,110912,Pulp Fiction,3,1994,tt0110912,Pulp Fiction,ok-disagree,ok,PASS,8000000,107928762,212928762,1994PASS,12573318,169627825,334652619,5,3,"The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",R,TRUE,"English, Spanish, French",USA,"Quentin Tarantino (story), Roger Avary (story), Quentin Tarantino",94,9,Quentin Tarantino,14-Oct-94,"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta","Crime, Drama, Thriller",Won 1 Oscar. Another 62 wins & 46 nominations.,154,movie,http://ia.media-imdb.com/images/M/MV5BMjE0ODk2NjczOV5BMl5BanBnXkFtZTYwNDQ0NDg4._V1_SX300.jpg,909053,NA
83,1995,205,112573,Braveheart,2,1995,tt0112573,Braveheart,men-disagree,men,FAIL,72000000,75545647,209000000,1995FAIL,110072121,115492633,319514907,4,3,"When his secret bride is executed for assaulting an English soldier who tried to rape her, a commoner begins a revolt and leads Scottish warriors against the cruel English tyrant who rules Scotland with an iron fist.",R,TRUE,"English, French, Latin, Scottish Gaelic",USA,Randall Wallace,68,8.4,Mel Gibson,24-May-95,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo","Action, Biography, Drama",Won 5 Oscars. Another 19 wins & 20 nominations.,177,movie,http://ia.media-imdb.com/images/M/MV5BNjA4ODYxMDU3Nl5BMl5BanBnXkFtZTcwMzkzMTk3OA@@._V1_SX300.jpg,525145,NA
84,1999,124,162661,Sleepy Hollow,3,1999,tt0162661,Sleepy Hollow,ok,ok,PASS,70000000,101068340,207068340,1999PASS,97892342,141340236,289577211,4,3,"Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of 3 people with the culprit being the legendary apparition, the Headless Horseman.",R,TRUE,"English, Latin","USA, Germany","Washington Irving (story), Kevin Yagher (screen story), Andrew Kevin Walker (screen story), Andrew Kevin Walker (screenplay)",65,7.5,Tim Burton,19-Nov-99,"Johnny Depp, Christina Ricci, Miranda Richardson, Michael Gambon","Drama, Mystery",Won 1 Oscar. Another 22 wins & 28 nominations.,105,movie,http://ia.media-imdb.com/images/M/MV5BMTY4NjMzNDY2N15BMl5BanBnXkFtZTcwNDMyMDI5MQ@@._V1_SX300.jpg,210582,NA
85,1990,3000,99810,The Hunt for Red October,1,1990,tt0099810,The Hunt for Red October,notalk,notalk,FAIL,30000000,120709866,200500000,1990FAIL,53489262,215222722,357486568,5,3,"In 1984, the USSR's best submarine captain in their newest sub violates orders and heads for the USA. Is he trying to defect, or to start a war?",PG,TRUE,"English, Russian",USA,"Tom Clancy (novel), Larry Ferguson (screenplay), Donald Stewart (screenplay)",58,7.6,John McTiernan,2-Mar-90,"Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill","Action, Adventure, Thriller",Won 1 Oscar. Another 2 wins & 6 nominations.,134,movie,http://ia.media-imdb.com/images/M/MV5BNzk3OTE2NjQ0OV5BMl5BanBnXkFtZTgwMDg3ODYxMTE@._V1_SX300.jpg,116660,NA
86,1990,118,100802,Total Recall,1,1990,tt0100802,Total Recall,notalk,notalk,FAIL,125000000,58877969,198615996,1990FAIL,222871925,104977970,354127435,5,3,"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real, or does he?",R,TRUE,English,USA,"Philip K. Dick (short story ""We Can Remember It For You Wholesale""), Ronald Shusett (screen story), Dan O'Bannon (screen story), Jon Povill (screen story), Ronald Shusett (screenplay), Dan O'Bannon (screenplay), Gary Goldman (screenplay)",57,7.5,Paul Verhoeven,1-Jun-90,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox","Action, Adventure, Sci-Fi",Nominated for 2 Oscars. Another 7 wins & 13 nominations.,113,movie,http://ia.media-imdb.com/images/M/MV5BMTc2MTU4ODI5MF5BMl5BanBnXkFtZTcwODI2MzAyOA@@._V1_SX300.jpg,186250,NA
87,1994,959,111282,Stargate,1,1994,tt0111282,Stargate,notalk,notalk,FAIL,55000000,71565669,196565669,1994FAIL,86441558,112477236,308935323,5,3,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",PG-13,TRUE,"English, Norwegian, Swedish","France, USA","Dean Devlin, Roland Emmerich",42,7,Roland Emmerich,28-Oct-94,"Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors","Action, Adventure, Sci-Fi",6 wins & 5 nominations.,121,movie,http://ia.media-imdb.com/images/M/MV5BMTk4ODQ1MTk5M15BMl5BanBnXkFtZTgwMjA2Mzk5MDE@._V1_SX300.jpg,121754,NA
88,1991,3595,101272,The Addams Family,3,1991,tt0101272,The Addams Family,ok,ok,PASS,30000000,113502246,191502246,1991PASS,51325211,194184224,327629772,5,3,Con artists plan to fleece the eccentric family using an accomplice who claims to be their long lost Uncle Fester.,PG-13,TRUE,English,USA,"Charles Addams (characters), Caroline Thompson, Larry Wilson",NA,6.8,Barry Sonnenfeld,22-Nov-91,"Anjelica Huston, Raul Julia, Christopher Lloyd, Dan Hedaya","Comedy, Fantasy",Nominated for 1 Oscar. Another 3 wins & 12 nominations.,99,movie,http://ia.media-imdb.com/images/M/MV5BNTczNjA4NzczMV5BMl5BanBnXkFtZTcwMTkzMTQyMQ@@._V1_SX300.jpg,74266,NA
89,1994,1051,111070,The Santa Clause,1,1994,tt0111070,The Santa Clause,notalk,notalk,FAIL,22000000,144833357,189800000,1994FAIL,34576623,227629474,298301960,5,3,"When a man inadvertantly kills Santa on Christmas Eve, he finds himself magically recruited to take his place.",PG,TRUE,"English, Spanish",USA,"Leo Benvenuti, Steve Rudnick",57,6.3,John Pasquin,11-Nov-94,"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd","Comedy, Drama, Family",2 wins & 7 nominations.,97,movie,http://ia.media-imdb.com/images/M/MV5BNDY4MjgyNTk3Ml5BMl5BanBnXkFtZTcwMTg1NTUxMQ@@._V1_SX300.jpg,47025,NA
90,1992,4731,105793,WayneÉ??s World,1,1992,tt0105793,Wayne&#39;s World,notalk,notalk,FAIL,20000000,121697323,183097323,1992FAIL,33206945,202059814,304005134,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1996,912,116313,The First Wives Club,3,1996,tt0116313,The First Wives Club,ok,ok,PASS,30000000,105489203,181489203,1996PASS,44554948,156668864,269541399,4,3,"Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women.",PG,TRUE,English,USA,"Olivia Goldsmith (novel), Robert Harling (screenplay)",58,6.1,Hugh Wilson,20-Sep-96,"Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith",Comedy,Nominated for 1 Oscar. Another 3 wins & 3 nominations.,103,movie,http://ia.media-imdb.com/images/M/MV5BMTI2OTE2NDkwM15BMl5BanBnXkFtZTcwODY5ODkxMQ@@._V1_SX300.jpg,25340,NA
92,1999,4926,171363,The Haunting,3,1999,tt0171363,The Haunting,ok,ok,PASS,80000000,91188905,180188905,1999PASS,111876962,127524221,251987342,4,3,"When Eleanor, Theo, and Luke decide to take part in a sleep study at a huge mansion they get more than they bargained for when Dr. Marrow tells them of the house's ghostly past.",PG-13,TRUE,English,USA,"David Self (screenplay), Shirley Jackson (novel)",NA,4.8,Jan de Bont,23-Jul-99,"Liam Neeson, Catherine Zeta-Jones, Owen Wilson, Lili Taylor","Fantasy, Horror, Mystery",2 wins & 9 nominations.,113,movie,http://ia.media-imdb.com/images/M/MV5BMTY4ODczMTMxNV5BMl5BanBnXkFtZTYwMTI4Nzc5._V1_SX300.jpg,49800,NA
93,1997,426,119137,Flubber,2,1997,tt0119137,Flubber,men,men,FAIL,80000000,92993801,177993801,1997FAIL,116099050,134956149,258311390,4,3,"An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance.",PG,TRUE,English,USA,"Samuel W. Taylor (short story ""A Situation of Gravity""), John Hughes (screenplay), Bill Walsh (screenplay)",37,4.9,Les Mayfield,26-Nov-97,"Robin Williams, Marcia Gay Harden, Christopher McDonald, Ted Levine","Comedy, Family, Sci-Fi",3 wins & 1 nomination.,93,movie,http://ia.media-imdb.com/images/M/MV5BMTIwODc4NzcyNF5BMl5BanBnXkFtZTYwMTY5OTY5._V1_SX300.jpg,43006,NA
94,1999,3102,122933,Analyze This,1,1999,tt0122933,Analyze This,notalk,notalk,FAIL,30000000,106885658,176885658,1999FAIL,41953861,149475534,247367876,4,3,A comedy about a psychiatrist whose number one-patient is an insecure mob boss.,R,TRUE,English,"USA, Australia","Kenneth Lonergan (story), Peter Tolan (story), Peter Tolan (screenplay), Harold Ramis (screenplay), Kenneth Lonergan (screenplay)",61,6.7,Harold Ramis,5-Mar-99,"Robert De Niro, Billy Crystal, Lisa Kudrow, Chazz Palminteri","Comedy, Crime",Nominated for 2 Golden Globes. Another 4 wins & 5 nominations.,103,movie,http://ia.media-imdb.com/images/M/MV5BMTQxNjM3ODQ0OF5BMl5BanBnXkFtZTgwNjk1Mzk5MDE@._V1_SX300.jpg,104010,NA
95,1995,294,112579,The Bridges of Madison County,3,1995,tt0112579,The Bridges of Madison County,ok,ok,PASS,22000000,71516617,175516617,1995PASS,33633148,109333135,268326198,4,3,"Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s.",PG-13,TRUE,English,USA,"Richard LaGravenese (screenplay), Robert James Waller (novel)",66,7.5,Clint Eastwood,2-Jun-95,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak","Drama, Romance",Nominated for 1 Oscar. Another 7 wins & 10 nominations.,135,movie,http://ia.media-imdb.com/images/M/MV5BMTI0MDkxMzA2NF5BMl5BanBnXkFtZTYwNjIxMDI5._V1_SX300.jpg,43393,NA
96,1997,4360,119190,George of the Jungle,3,1997,tt0119190,George of the Jungle,ok,ok,PASS,55000000,105263257,174463257,1997PASS,79818097,152762052,253187730,4,3,George grows up in the jungle raised by apes. Based on the Cartoon series.,PG,TRUE,"English, Spanish",USA,"Jay Ward (characters), Dana Olsen (story), Dana Olsen (screenplay), Audrey Wells (screenplay)",53,5.4,Sam Weisman,16-Jul-97,"Brendan Fraser, Leslie Mann, Thomas Haden Church, Richard Roundtree","Action, Adventure, Comedy",1 win & 2 nominations.,92,movie,http://ia.media-imdb.com/images/M/MV5BMTUxNjQ2NjA1OV5BMl5BanBnXkFtZTcwMDAyMTYyMQ@@._V1_SX300.jpg,45039,NA
97,1996,649,117571,Scream,3,1996,tt0117571,Scream,ok,ok,PASS,15000000,103046663,173046663,1996PASS,22277474,153041290,257002834,4,3,"A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the ""Rules"" of horror films as they find themselves living in a real-life one.",R,TRUE,English,USA,Kevin Williamson,65,7.2,Wes Craven,20-Dec-96,"Drew Barrymore, Roger Jackson, Kevin Patrick Walls, David Booth","Crime, Horror, Mystery",7 wins & 4 nominations.,111,movie,http://ia.media-imdb.com/images/M/MV5BMjA2NjU5MTg5OF5BMl5BanBnXkFtZTgwOTkyMzQxMDE@._V1_SX300.jpg,174957,NA
98,1995,2864,114746,Twelve Monkeys,1,1995,tt0114746,Twelve Monkeys,notalk,notalk,FAIL,29000000,57141459,168841459,1995FAIL,44334604,87356689,258121354,4,3,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",R,TRUE,"English, French",USA,"Chris Marker (film La Jet??e), David Webb Peoples (screenplay), Janet Peoples (screenplay)",74,8.1,Terry Gilliam,5-Jan-96,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance","Mystery, Sci-Fi, Thriller",Nominated for 2 Oscars. Another 10 wins & 8 nominations.,129,movie,http://ia.media-imdb.com/images/M/MV5BMjI4MDIxNjk2Ml5BMl5BanBnXkFtZTcwMTA3Njk3OA@@._V1_SX300.jpg,342136,NA
99,1997,904,118884,Contact,3,1997,tt0118884,Contact,ok,ok,PASS,90000000,100920329,165900000,1997PASS,130611431,146459429,240760405,4,3,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of intelligent aliens, who send plans for a mysterious machine.",PG,TRUE,"English, Spanish, German, Russian",USA,"Carl Sagan (novel), Carl Sagan (story), Ann Druyan (story), James V. Hart (screenplay), Michael Goldenberg (screenplay)",62,7.4,Robert Zemeckis,11-Jul-97,"Jena Malone, David Morse, Jodie Foster, Geoffrey Blake","Drama, Mystery, Sci-Fi",Nominated for 1 Oscar. Another 10 wins & 16 nominations.,150,movie,http://ia.media-imdb.com/images/M/MV5BMjEyMDQxMTMxMF5BMl5BanBnXkFtZTcwNTU0ODcyMg@@._V1_SX300.jpg,153369,NA
100,1998,1069,120828,Six Days Seven Nights,1,1998,tt0120828,Six Days Seven Nights,notalk,notalk,FAIL,80000000,74339294,164800000,1998FAIL,114330585,106240687,235521005,4,3,"Robin Monroe, a New York magazine editor, and the gruff pilot Quinn Harris must put aside their mutual dislike if they are to survive after crash landing on a deserted South Seas island.",PG-13,TRUE,"English, German",USA,Michael Browning,51,5.7,Ivan Reitman,12-Jun-98,"Harrison Ford, Anne Heche, David Schwimmer, Jacqueline Obradors","Action, Adventure, Comedy",2 wins & 3 nominations.,98,movie,http://ia.media-imdb.com/images/M/MV5BMTY0ODQ2NDE2NF5BMl5BanBnXkFtZTcwNDM5MDkyMQ@@._V1_SX300.jpg,51032,NA
